상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소,지정일자,지정등급
신전떡볶이 중곡점,서울특별시 광진구 능동로 400 (중곡동),음식,기타 간이,김밥/만두/분식,127.084436881818,37.5650460928601,서울특별시 광진구 능동로 400,2024-06-19,매우우수
아빠찜 구의역점,서울특별시 광진구 자양로18길 96 (구의동),음식,한식,백반/한정식,127.088777901165,37.5385527290677,서울특별시 광진구 자양로18 길 96,2023-11-13,매우우수
이랜드이츠애슐리퀸즈,서울특별시 광진구 광나루로56길 85 (구의동) 9층,음식,서양식,패밀리레스토랑,127.095680669092,37.53571340911,서울특별시 광진구 광나루로56 길 85,2024-12-09,매우우수
엔제리너스건대역,서울특별시 광진구 능동로 103 (화양동) 1층,음식,기타 간이,피자,127.070492724286,37.5403294572602,서울특별시 광진구 능동로 103,2023-08-17,우수
옥루몽어린이대공원점,서울특별시 광진구 능동로 183 (화양동) 1층,음식,비알코올 ,카페,127.07364631978,37.5470130089634,서울특별시 광진구 능동로 183,2024-08-20,매우우수
유유샤브군자역점,서울특별시 광진구 능동로36길 30 (능동),음식,한식,백반/한정식,127.080567191742,37.5557081788844,서울특별시 광진구 능동로36 길 30,2025-01-14,매우우수
이남장건대롯데스타시티점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,한식,국/탕/찌개류,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-03-04,매우우수
이디야커피구의자양로점,서울특별시 광진구 자양로 251 (구의동) 1층,음식,비알코올 ,카페,127.08929591506,37.5489909130641,서울특별시 광진구 자양로 251,2023-02-24,매우우수
이디야중곡,서울특별시 광진구 용마산로 37 (중곡동) 1층,음식,비알코올 ,카페,127.087704248127,37.5570160011406,서울특별시 광진구 용마산로 37,2023-03-09,매우우수
이디야커피자양동점,서울특별시 광진구 자양로 46 (자양동) 1층,음식,비알코올 ,카페,127.085947416439,37.5321964474838,서울특별시 광진구 자양로 46,2024-04-16,우수
이디야커피동서울,서울특별시 광진구 강변역로4길 34 (구의동),음식,비알코올 ,카페,127.092214859957,37.5341279943905,서울특별시 광진구 강변역로4 길 34,2024-12-08,매우우수
일리카페롯데건대스타시티점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,비알코올 ,카페,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2023-09-10,매우우수
정직유부 건대점,서울특별시 광진구 능동로 135-1 (화양동) 1층,음식,일식,기타 일식 음식점,127.071648472516,37.5429425883021,서울특별시 광진구 능동로 135 1,2024-07-29,우수
