상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
장만옥,서울특별시 광진구 동일로 150 (화양동) 1층,음식,중식,중국집,127.066194657587,37.5456207590236,서울특별시 광진구 동일로 150
맛짱마라탕군자점,서울특별시 광진구 능동로 276 (능동) 1층,음식,중식,마라탕/훠궈,127.07829659285,37.5544380157887,서울특별시 광진구 능동로 276
쿠마상회,서울특별시 광진구 아차산로33길 21-5 (화양동),음식,일식,일식 회/초밥,127.069834808782,37.5413694966025,서울특별시 광진구 아차산로33 길 21 5
동북풍미양꼬치,서울특별시 광진구 동일로18길 90 (자양동) 1층,음식,중식,중국집,127.067619524953,37.538432618474,서울특별시 광진구 동일로18 길 90
다다주점,서울특별시 광진구 능동로36길 18 (능동) 지층,음식,기타 간이,치킨,127.080055602991,37.5558934144435,서울특별시 광진구 능동로36 길 18
반주옥,서울특별시 광진구 능동로 172 (화양동) 1층,음식,한식,백반/한정식,127.073964658766,37.5459792972265,서울특별시 광진구 능동로 172
한신우동 구의점,서울특별시 광진구 아차산로57길 10 (구의동) 1층,음식,한식,국수/칼국수,127.088332691171,37.5388736719388,서울특별시 광진구 아차산로57 길 10
빈이푸드,서울특별시 광진구 구의로 51 (구의동) 1층,음식,한식,백반/한정식,127.089973646305,37.5425806463865,서울특별시 광진구 구의로 51
신미방마라탕,서울특별시 광진구 뚝섬로59길 57 (자양동) 1층,음식,중식,마라탕/훠궈,127.083192540023,37.5344908006092,서울특별시 광진구 뚝섬로59 길 57
앤도시락군자 직영점,서울특별시 광진구 광나루로 361 (군자동) 1층,음식,한식,백반/한정식,127.069724520217,37.5484238574589,서울특별시 광진구 광나루로 361
도시맥주 건대점,서울특별시 광진구 아차산로33길 44 (화양동) 1층,음식,주점,생맥주 전문,127.070842738211,37.5422154098238,서울특별시 광진구 아차산로33 길 44
쉐프의생안심탕수육오늘애묵은지김치찜 광진점,서울특별시 광진구 아차산로55길 26 (구의동) 1층,음식,주점,요리 주점,127.086571377066,37.5385537029888,서울특별시 광진구 아차산로55 길 26
디제이와통기타클럽,서울특별시 광진구 뚝섬로 511 (자양동) 1층,음식,한식,백반/한정식,127.067200398193,37.5357441733651,서울특별시 광진구 뚝섬로 511
북카페림,서울특별시 광진구 뚝섬로52길 66 (자양동) 1층,음식,비알코올 ,카페,127.077656813469,37.5292035629323,서울특별시 광진구 뚝섬로52 길 66
카페샬롬,서울특별시 광진구 군자로 30 (화양동) 1층,음식,비알코올 ,카페,127.070627830333,37.5458539655753,서울특별시 광진구 군자로 30
젠젠건대스타시티,서울특별시 광진구 능동로 92 (자양동) 2층,음식,일식,일식 회/초밥,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92
명랑핫도그자양3 동점,서울특별시 광진구 뚝섬로 541 (자양동) 1층,음식,기타 간이,빵/도넛,127.070345197386,37.5348949513078,서울특별시 광진구 뚝섬로 541
깡우동 건대점,서울특별시 광진구 동일로24길 98 (화양동) 1층,음식,일식,일식 면 요리,127.070230280124,37.5423277257285,서울특별시 광진구 동일로24 길 98
마더락 건대점,서울특별시 광진구 광나루로37길 13 (구의동) 1층,음식,한식,백반/한정식,127.087639810993,37.54559017325,서울특별시 광진구 광나루로37 길 13
주가네탕앤족,서울특별시 광진구 자양로15길 55 (자양동) 1층,음식,한식,백반/한정식,127.080570768151,37.5351462074285,서울특별시 광진구 자양로15 길 55
달빛맥주자양하늘채점,서울특별시 광진구 자양로48길 55 (구의동) 1층,음식,주점,생맥주 전문,127.094930575175,37.5518995825106,서울특별시 광진구 자양로48 길 55
보승회관 건대점,서울특별시 광진구 아차산로 214 (자양동) 1층,음식,한식,백반/한정식,127.06710236568,37.5408884050466,서울특별시 광진구 아차산로 214
중곡동손칼국수,서울특별시 광진구 능동로 400 (중곡동) 1층,음식,한식,국수/칼국수,127.084665233698,37.5648856747072,서울특별시 광진구 능동로 400
나나케이크,서울특별시 광진구 능동로13길 101 (화양동) 1층,음식,비알코올 ,카페,127.068082868981,37.5457528129474,서울특별시 광진구 능동로13 길 101
